,MAE,RMSE,MAPE,sMAPE,MASE
LSTM,36.69839859008789,46.06455612182617,4762121.5,17.75012969970703,1.6221973956293176
Vanilla Transformer,28.39036750793457,37.74876403808594,4071448.5,13.28576946258545,1.2549534040095662
eHMM-Transformer,24.73827362060547,34.322879791259766,3617642.5,11.656034469604492,1.0935180983769333
